TreeID,long,lat,species,latin species,year planted,diameter canopy,dbh,height,biomass
164,390198.78,5816710,Gewöhnliche Esche,Fraxinus excelsior,2005,2,18.14366351,3,15.41588011
165,390201.2768,5816715,Spitz-Ahorn,Acer platanoides,1972,7,35.01408748,10,18.82693687
166,390211.1016,5816737,Esche,Fraxinus spec.,1934,10,66.20845633,18,146.3316343
167,390211.6876,5816712,Spitz-Ahorn,Acer platanoides,1966,9,40.10704566,17,26.70874942
168,390199.9945,5816701,Spitz-Ahorn,Acer platanoides,1934,12.5,75.75775291,17,137.3765751
169,390189.618,5816690,Esche,Fraxinus spec.,1963,9.5,42.97183463,12,48.67053376
170,390196.1021,5816683,Spitz-Ahorn 'Schwedleri',Acer platanoides 'Schwedleri',1975,9,31.19436885,14,13.9828478
171,390199.7804,5816663,Spitz-Ahorn 'Schwedleri',Acer platanoides 'Schwedleri',1942,16,62.07042781,17,82.23515031
172,390190.5455,5816648,Linde,Tilia spec.,1934,17,66.8450761,17,63.13720838
173,390185.3376,5816635,Linde,Tilia spec.,1967,7,37.24225668,17,15.02576265
174,390180.8523,5816633,Japanischer Schnurbaum 'Princeton Upright',Sophora japonica 'Princeton Upright',1956,15,43.92676429,18,205.2413644
175,390174.2946,5816632,Japanischer Schnurbaum 'Princeton Upright',Sophora japonica 'Princeton Upright',1957,10,43.92676429,14,205.2413644
176,390193.9909,5816629,Japanischer Schnurbaum,Sophora japonica,1941,15,59.52394872,17,371.6714642
177,390184.989,5816623,Japanischer Schnurbaum,Sophora japonica,1954,8,47.42817304,14,238.3256458
178,390175.3243,5816619,Winter-Linde,Tilia cordata,1942,14,62.70704758,18,53.97265655
179,390193.4216,5816626,Hainbuche,Carpinus betulus,1959,12,44.88169395,10,661.3690969
180,390173.5376,5816612,Spitz-Ahorn,Acer platanoides,1970,10,37.56056657,18,22.55759109
181,390175.5074,5816597,Berg-Ulme,Ulmus glabra,1911,7,79.57747155,6,35.09433121
182,390186.9929,5816593,Hainbuche,Carpinus betulus,1981,7,27.05634033,10,244.6148043
183,390193.6071,5816600,Spitz-Ahorn,Acer platanoides,1924,18,71.93803428,25,120.2413945
184,390198.2087,5816595,Eiche,Quercus spec.,1927,12,71.61972439,17,1391.507962
185,390211.8847,5816600,Japanischer Schnurbaum,Sophora japonica,1937,15,67.16338598,17,471.1172338
186,390245.8031,5816597,Linde,Tilia spec.,1905,16,92.30986699,25,139.4157851
187,390203.5692,5816567,Ahornblättrige Platane,Platanus acerifolia,1900,16,108.2253613,25,7117.152227
188,390228.2169,5816567,Ahornblättrige Platane,Platanus acerifolia,1875,15,111.0901503,25,7489.531338
189,390240.1424,5816563,Linde,Tilia spec.,1905,16,85.3070495,19,114.8743836
190,390254.4458,5816571,Linde,Tilia spec.,1932,4,63.66197724,9,56.01219574
191,390253.7069,5816579,Ahornblättrige Platane,Platanus acerifolia,1877,15,106.9521218,25,6954.624375
192,390261.4298,5816581,Ahornblättrige Platane,Platanus acerifolia,1877,17,111.4084602,25,7531.47834
193,390265.043,5816566,Linde,Tilia spec.,1976,6,35.33239737,17,13.20463609
194,390275.0118,5816579,Eiche,Quercus spec.,1926,12,69.0732453,17,1291.913833
195,390276.14,5816575,Eiche,Quercus spec.,1902,12,91.99155711,18,2325.377367
196,390279.6774,5816577,Eiche,Quercus spec.,1928,10,70.34648485,20,1341.237129
197,390286.9585,5816564,Eiche,Quercus spec.,1917,10,79.25916166,20,1713.079102
198,390289.6955,5816565,Linde,Tilia spec.,1961,8,46.1549335,20,25.4404116
199,390298.1984,5816565,Ahornblättrige Platane,Platanus acerifolia,1885,15,105.0422624,25,6714.267187
200,390292.5011,5816579,Linde,Tilia spec.,1969,10,42.01690498,20,20.20260276
201,390297.4594,5816576,Linde,Tilia spec.,1969,7,39.152116,20,16.98790826
202,390305.5476,5816570,Linde,Tilia spec.,1934,10,63.98028712,20,56.70202205
203,390302.3262,5816558,Hainbuche,Carpinus betulus,1968,8,36.28732702,14,605.8303967
204,390311.0118,5816554,Spitz-Ahorn,Acer platanoides,1925,15,69.39155519,20,109.5843862
205,390305.2875,5816540,Gemeine Rosskastanie,Aesculus hippocastanum,1924,15,69.70986507,18,2188.582073
206,390297.319,5816538,Spitz-Ahorn,Acer platanoides,1949,10,50.29296202,20,47.8356002
207,390295.5488,5816549,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1947,8,50.92958179,17,691.456744
208,390292.3726,5816552,Gewöhnliche Esche,Fraxinus excelsior,1925,10,68.43662553,18,159.2010458
209,390280.4095,5816556,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1946,8,52.20282133,18,52.65428938
210,390143.2735,5816700,Gemeine Eibe,Taxus baccata,1955,7,57.29577951,12,1004.714769
211,390244.9936,5816541,Ulme,Ulmus spec.,1909,13,81.80564075,25,37.68384598
212,390270.5187,5816556,Gewöhnliche Esche,Fraxinus excelsior,1916,15,76.39437268,25,210.6706729
213,390243.8586,5816535,Ulme,Ulmus spec.,1944,11,55.3859202,18,13.78743856
214,390263.4486,5816547,Linde,Tilia spec.,1939,9,58.88732894,20,46.25808377
215,390281.3651,5816541,Ahornblättrige Platane,Platanus acerifolia,1888,18,101.8591636,20,5085.433667
216,390295.813,5816529,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1955,7,110.1352206,18,360.0511686
217,390285.4931,5816524,Gemeine Rosskastanie,Aesculus hippocastanum,1854,10,124.7774754,16,6078.346677
218,390280.4505,5816512,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1953,10,49.01972247,15,44.77895673
219,390259.6769,5816504,Linde,Tilia spec.,1935,9,63.02535746,17,54.64752436
220,390251.0043,5816517,Linde,Tilia spec.,1961,13,40.74366543,18,18.73309303
221,390238.7385,5816527,Spitz-Ahorn,Acer platanoides,1949,15,53.79437077,20,56.88796728
222,390235.2502,5816528,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1956,9,48.06479281,20,42.56698592
223,390230.1229,5816544,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1931,15,68.11831564,20,104.4811323
224,390216.9232,5816536,Spitz-Ahorn,Acer platanoides,1904,17,91.35493733,25,222.4749076
225,390226.6095,5816520,Gemeine Rosskastanie,Aesculus hippocastanum,1943,15,57.29577951,20,1654.120584
226,390227.9878,5816515,Spitz-Ahorn,Acer platanoides,1933,15,63.34366735,25,86.64947184
227,390227.3499,5816509,Spitz-Ahorn,Acer platanoides,1919,10,74.16620348,18,130.0671413
228,390215.9202,5816500,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1974,8,31.51267873,20,14.35322697
229,390210.37,5816495,Spitz-Ahorn,Acer platanoides,1961,8,29.9211293,16,12.56003642
230,390213.5061,5816492,Ulme,Ulmus spec.,1963,10,53.15775099,20,12.40254155
231,390192.1872,5816489,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1959,10,48.06479281,20,42.56698592
232,390192.5867,5816495,Spitz-Ahorn,Acer platanoides,1969,8,40.10704566,20,26.70874942
233,390197.5739,5816500,Gewöhnliche Esche,Fraxinus excelsior,1931,12,67.80000576,24,155.4567673
234,390188.6901,5816497,Spitz-Ahorn,Acer platanoides,1955,12,46.47324338,25,39.03142451
235,390185.7101,5816498,Spitz-Ahorn,Acer platanoides,1972,20,39.47042589,8,25.63064552
236,390183.0296,5816513,Spitz-Ahorn,Acer platanoides,1933,12,64.93521678,25,92.36724855
237,390180.0626,5816675,Götterbaum,Ailanthus altissima,1940,10,57.6140894,18,1508.705604
238,390175.2899,5816516,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1960,8,46.47324338,20,39.03142451
239,390176.8879,5816524,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1961,8,42.97183463,22,31.90155481
240,390189.5136,5816527,Ulme,Ulmus spec.,1900,13,90.40000768,20,48.7531082
241,390204.4098,5816531,Gemeine Eibe,Taxus baccata,1973,8,34.69577759,14,438.6796085
242,390193.6888,5816543,Spitz-Ahorn,Acer platanoides,1933,8,64.93521678,20,92.36724855
243,390195.2474,5816550,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1953,9,47.74648293,19,41.84484505
244,390187.5813,5816563,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1943,10,57.6140894,20,67.87931656
245,390181.9779,5816559,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1897,20,95.17465597,19,2493.434734
246,390186.6783,5816571,Linde,Tilia spec.,1965,9,42.01690498,16,20.20260276
247,390167.4744,5816575,Gemeine Rosskastanie,Aesculus hippocastanum,1875,15,109.180291,20,5823.302604
248,390154.6667,5816590,Spitz-Ahorn,Acer platanoides,1955,15,80.85071109,25,162.433898
249,390162.8694,5816586,Ahornblättrige Platane,Platanus acerifolia,1910,10,82.44226052,20,3365.397561
250,390158.7577,5816571,Spitz-Ahorn,Acer platanoides,1945,10,54.43099054,19,58.63779714
251,390156.2677,5816559,Spitz-Ahorn,Acer platanoides,1951,9,51.88451145,18,51.83148633
252,390169.2899,5816541,Linde,Tilia spec.,1938,10,61.75211792,20,51.97778735
253,390155.25,5816533,Ulme,Ulmus spec.,1916,11,78.304232,20,33.66497795
254,390161.4015,5816524,Ulme,Ulmus spec.,1929,10,69.70986507,20,24.94666851
255,390169.5521,5816520,Ulme,Ulmus spec.,1923,14,74.80282325,25,29.91993028
256,390169.3834,5816511,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1962,6,39.78873577,18,26.16630126
257,390169.0609,5816508,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1944,10,56.97746963,25,65.96464095
258,390206.7209,5816552,Holländische Linde,Tilia intermedia,1962,10,44.56338407,18,23.34114774
259,390180.4232,5816667,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1923,7,73.84789359,12,128.634503
260,389832.4821,5816575,Sand-Birke,Betula pendula,1969,5,37.56056657,17,25.03246067
261,389811.6632,5816583,Linde,Tilia spec.,1957,11,46.1549335,17,25.4404116
